tanggal,hari,hariKe,kasusBaru
1/3/2020,Ahad,1,0
2/3/2020,Senin,2,2
3/3/2020,Selasa,3,0
4/3/2020,Rabu,4,0
5/3/2020,Kamis,5,0
6/3/2020,Jumat,6,2
7/3/2020,Sabtu,7,2
8/3/2020,Ahad,8,0
9/3/2020,Senin,9,13
10/3/2020,Selasa,10,8
11/3/2020,Rabu,11,7
12/3/2020,Kamis,12,0
13/3/2020,Jumat,13,35
14/3/2020,Sabtu,14,27
15/3/2020,Ahad,15,21
16/3/2020,Senin,16,17
17/3/2020,Selasa,17,38
18/3/2020,Rabu,18,52
19/3/2020,Kamis,19,85
20/3/2020,Jumat,20,60
21/3/2020,Sabtu,21,81
22/3/2020,Ahad,22,69
23/3/2020,Senin,23,70
24/3/2020,Selasa,24,106
25/3/2020,Rabu,25,105
26/3/2020,Kamis,26,103
27/3/2020,Jumat,27,153
28/3/2020,Sabtu,28,109
29/3/2020,Ahad,29,130
30/3/2020,Senin,30,129
31/3/2020,Selasa,31,114
1/4/2020,Rabu,32,149
2/4/2020,Kamis,33,113
3/4/2020,Jumat,34,196
4/4/2020,Sabtu,35,106
5/4/2020,Ahad,36,181
6/4/2020,Senin,37,218
7/4/2020,Selasa,38,247
8/4/2020,Rabu,39,218
9/4/2020,Kamis,40,337
10/4/2020,Jumat,41,209
11/4/2020,Sabtu,42,340
12/4/2020,Ahad,43,399
13/4/2020,Senin,44,316
14/4/2020,Selasa,45,282
15/4/2020,Rabu,46,297
16/4/2020,Kamis,47,380
17/4/2020,Jumat,48,407
18/4/2020,Sabtu,49,325
19/4/2020,Ahad,50,327
20/4/2020,Senin,51,185
21/4/2020,Selasa,52,375
22/4/2020,Rabu,53,283
23/4/2020,Kamis,54,357
24/4/2020,Jumat,55,436
25/4/2020,Sabtu,56,396
26/4/2020,Ahad,57,275
27/4/2020,Senin,58,214
28/4/2020,Selasa,59,415
29/4/2020,Rabu,60,260
30/4/2020,Kamis,61,347
1/5/2020,Jumat,62,433
2/5/2020,Sabtu,63,292
3/5/2020,Ahad,64,349
4/5/2020,Senin,65,395
5/5/2020,Selasa,66,484
6/5/2020,Rabu,67,367
7/5/2020,Kamis,68,338
